Publication.Title,CountryOfOrigin,Qid_CoO,Inception,Qid,Count
Analog Game Studies,United States of America,Q30,2014-08-01T00:00:00Z,Q123528924,51
International Journal of Role-Playing,Kingdom of the Netherlands,Q29999,2009-01-01T00:00:00Z,Q69671730,41
RPG学研究: Japanese Journal of Analog Role-Playing Game Studies,Japan,Q17,2019-01-01T00:00:00Z,Q113479723,15
Games and Culture,United States of America,Q30,2006-01-01T00:00:00Z,Q5520104,11
Journal of Roleplaying Studies and STEAM,Mexico,Q96,2022-01-01T00:00:00Z,Q123528952,8
Simulation & Gaming,United States of America,Q30,1970-01-01T00:00:00Z,Q7521310,8
Convergence,United Kingdom,Q145,1995-01-01T00:00:00Z,Q5166365,6
Psychological Reports,United States of America,Q30,1955-01-01T00:00:00Z,Q7256366,6
Sciences du jeu,France,Q142,2013-01-01T00:00:00Z,Q96728420,6
Journal of Interactive Drama,Taiwan,Q865,2006-07-01T00:00:00Z,Q123528999,4
,Australia,Q408,,,
Thinking Skills and Creativity,,,2006-01-01T00:00:00Z,Q15817668,4
Education in the Knowledge Society,Spain,Q29,2015-01-01T00:00:00Z,Q50817575,3
,,,2015-01-01T00:00:00Z,,
Frontiers in Psychology,Switzerland,Q39,2010-01-01T00:00:00Z,Q2794477,3
PhD&D Journal,,,,,3
The popular culture studies journal,United States of America,Q30,2013-01-01T00:00:00Z,Q123529206,3
Reconstruction,United States of America,Q30,2001-01-01T00:00:00Z,Q15753110,3
Social Work with Groups,United States of America,Q30,1978-01-01T00:00:00Z,Q15760905,3
The Journal of Popular Culture,United States of America,Q30,1967-01-01T00:00:00Z,Q15707472,3
Transformative Works and Cultures,United States of America,Q30,,Q28130085,3
Revue ¿ Interrogations ?,France,Q142,2005-01-01T00:00:00Z,Q61747779,2
Acta Ludologica,Slovakia,Q214,2018-01-01T00:00:00Z,Q112993699,2
Bulletin de Psychologie,France,Q142,1948-01-01T00:00:00Z,Q2928064,2
Collection Building,United Kingdom,Q145,1978-01-01T00:00:00Z,Q15765376,2
Cultic Studies Journal,United States of America,Q30,1984-01-01T00:00:00Z,Q4041498,2
Currents in Pharmacy Teaching and Learning,Kingdom of the Netherlands,Q29999,,Q15817613,2
Dialogue: The Interdisciplinary Journal of Popular Culture and Pedagogy,United States of America,Q30,,Q61902873,2
Extrapolation,United States of America,Q30,1959-01-01T00:00:00Z,Q5422243,2
,United Kingdom,Q145,,,
Homo Ludens (Poznań),Poland,Q36,,Q96706661,2
International Journal of Group Psychotherapy,United Kingdom,Q145,,Q15752482,2
International journal of play,United States of America,Q30,,Q29043941,2
Journal of Creativity in Mental Health,United States of America,Q30,,Q15817465,2
The Journal of Popular Culture,United States of America,Q30,1967-01-01T00:00:00Z,Q15707472,2
Journal of the Fantastic in the Arts,United States of America,Q30,,Q15755615,2
Play/Write Student Journal,,,,,2
Sociétés contemporaines,France,Q142,,Q29043759,2
Sustainability,Switzerland,Q39,2009-03-01T00:00:00Z,Q15813953,2
Technium Social Sciences Journal,Romania,Q218,2019-01-01T00:00:00Z,Q123529330,2
Academic research in educational sciences,,,,,1
"AGON, Rivista Internazionale di Studi Culturali, Linguistici e Letterari",Italy,Q38,2014-01-01T00:00:00Z,Q123529381,1
Agora débats/jeunesses,France,Q142,1995-01-01T00:00:00Z,Q47008641,1
Academic Quarter,Denmark,Q35,2010-01-01T00:00:00Z,Q37930432,1
,Kingdom of Denmark,Q756617,,,
American Journal of Clinical Hypnosis,United States of America,Q30,1958-01-01T00:00:00Z,Q15760320,1
American Journal of Islam and Society,United States of America,Q30,1984-01-01T00:00:00Z,Q96700790,1
American Journal of Play,United States of America,Q30,2008-01-01T00:00:00Z,Q4744263,1
American Journal of Psychotherapy,United States of America,Q30,1939-01-01T00:00:00Z,Q1951743,1
American Journal of Sociology,United States of America,Q30,1895-01-01T00:00:00Z,Q465376,1
Analytic Teaching and Philosophical Praxis,United States of America,Q30,1980-01-01T00:00:00Z,Q50817206,1
Annales médico-psychologiques,France,Q142,1843-01-01T00:00:00Z,Q564390,1
Antí teses,,,,,1
L'Archicube,France,Q142,2006-07-01T00:00:00Z,Q41337010,1
Arizona Law Review,United States of America,Q30,1959-01-01T00:00:00Z,Q15749900,1
Arts and Humanities in Higher Education,United Kingdom,Q145,2002-01-01T00:00:00Z,Q15710289,1
Australian Psychologist,Australia,Q408,1966-01-01T00:00:00Z,Q15762904,1
Autism in Adulthood,United States of America,Q30,2018-01-01T00:00:00Z,Q56065671,1
Brazilian English Language Teaching Journal,Brazil,Q155,2010-01-01T00:00:00Z,Q50815723,1
British Journal of Educational Technology,United Kingdom,Q145,1970-01-01T00:00:00Z,Q4970198,1
British Journal of Psychology,United Kingdom,Q145,1953-01-01T00:00:00Z,Q15762551,1
Buffalo Law Review,United States of America,Q30,1951-01-01T00:00:00Z,Q15750156,1
"Caerdroia, the Journal of Mazes & Labyrinths",United Kingdom,Q145,1980-01-01T00:00:00Z,Q123529275,1
Cahiers de Narratologie,,,1987-01-01T00:00:00Z,Q50497570,1
California Law Review,United States of America,Q30,1912-01-01T00:00:00Z,Q5020657,1
Canadian Journal for New Scholars in Education,Canada,Q16,2008-01-01T00:00:00Z,Q50814910,1
Canadian Theatre Review,Canada,Q16,1974-01-01T00:00:00Z,Q39046074,1
The Cardozo Journal of Equal Rights and Social Justice,United States of America,Q30,,Q15766197,1
Child and Adolescent Psychiatric Clinics of North America,United States of America,Q30,1992-01-01T00:00:00Z,Q15749262,1
Cinema Journal,United States of America,Q30,1967-01-01T00:00:00Z,Q5120737,1
Classical Bulletin,United States of America,Q30,1925-01-01T00:00:00Z,Q15752949,1
Classical World,United States of America,Q30,1907-01-01T00:00:00Z,Q15758695,1
Comitatus,United States of America,Q30,1970-01-01T00:00:00Z,Q15766904,1
Comunicações,Brazil,Q155,1994-01-01T00:00:00Z,Q50432887,1
Concentric,Taiwan,Q865,1964-01-01T00:00:00Z,Q15757977,1
Contemporary French and Francophone Studies,England,Q21,1997-01-01T00:00:00Z,Q15757380,1
,United Kingdom,Q145,,,
Continuum: Journal of Media & Cultural Studies,England,Q21,1988-01-01T00:00:00Z,Q5165536,1
,United Kingdom,Q145,,,
Convergências - Revista de Investigação e Ensino das Artes,Portugal,Q45,2008-01-01T00:00:00Z,Q50520896,1
Creativity Research Journal,United States of America,Q30,1988-01-01T00:00:00Z,Q15750982,1
"Cultural Studies, Critical Methodologies",United Kingdom,Q145,2001-01-01T00:00:00Z,Q5193239,1
Culture and Psychology,United Kingdom,Q145,1995-01-01T00:00:00Z,Q5193484,1
Current Psychology,United States of America,Q30,,Q15746556,1
Deleuze Studies,United Kingdom,Q145,2007-01-01T00:00:00Z,Q5253651,1
Discourse,United Kingdom,Q145,1980-01-01T00:00:00Z,Q15750937,1
Dissent,United States of America,Q30,1954-01-01T00:00:00Z,Q2918282,1
E-Learning and Digital Media,,,2004-01-01T00:00:00Z,Q15749301,1
e-Proceeding of Art & Design,,,,,1
Éducation et sociétés,Belgium,Q31,1998-01-01T00:00:00Z,Q3580132,1
El Futuro del Pasado,Spain,Q29,2010-01-01T00:00:00Z,Q50815068,1
Eludamos,Germany,Q183,2007-01-01T00:00:00Z,Q15817597,1
Emerging Library & Information Perspectives,Canada,Q16,2010-01-01T00:00:00Z,Q96698145,1
"Emotions: History, Culture, Society",Australia,Q408,,Q96698199,1
Encyclopedia,Switzerland,Q39,2021-01-01T00:00:00Z,Q101246285,1
Enfermería Clínica,Spain,Q29,1990-01-01T00:00:00Z,Q27721260,1
English Teaching: Practice and Critique,New Zealand,Q664,2002-01-01T00:00:00Z,Q15749419,1
,United Kingdom,Q145,,,
Enterprise Information Systems,United Kingdom,Q145,2007-01-01T00:00:00Z,Q2142322,1
Entertainment and Sports Lawyer,United States of America,Q30,1982-01-01T00:00:00Z,Q5380478,1
Environmental Research Communications,United Kingdom,Q145,2018-01-01T00:00:00Z,Q69648170,1
ESharp,United Kingdom,Q145,2003-01-01T00:00:00Z,Q5324411,1
EspacesTemps.net Electronic Journal of Humanities and Social Sciences,,,,,1
Ethnographic Encounters,,,,,1
Ethnologie française,France,Q142,,Q3059306,1
Ethos,United States of America,Q30,,Q15757300,1
"Ex-centric Narratives: Journal of Anglophone Literature, Culture and Media",,,,,1
Finance-contrôle-stratégie,France,Q142,,Q15708777,1
Folklore Forum,United States of America,Q30,1968-01-01T00:00:00Z,Q123529386,1
"Fordham Intellectual Property, Media & Entertainment Law Journal",,,,,1
Forests,Switzerland,Q39,,Q27726711,1
Forum Qualitative Social Research,Germany,Q183,1999-01-01T00:00:00Z,Q1439232,1
Forum Qualitative Sozialforschung / Forum: Qualitative Social Research,,,,,1
Foundation (journal),England,Q21,1972-01-01T00:00:00Z,Q5474536,1
,United Kingdom,Q145,,,
"G|A|M|E Games as Art, Media, Entertainment",,,,,1
Game Journal,,,,,1
Game Studies,Kingdom of Denmark,Q756617,2001-01-01T00:00:00Z,Q15749364,1
"Game Studies, the international journal of computer game research",,,,,1
Games & Education,,,,,1
gamevironments,,,,,1
George Mason Law Review,United States of America,Q30,1976-01-01T00:00:00Z,Q5542203,1
Global media journal México,Mexico,Q96,,Q123529071,1
Higher Education,Kingdom of the Netherlands,Q29999,1972-01-01T00:00:00Z,Q5758054,1
HOW Journal,Colombia,Q739,,Q113017276,1
Howard Journal of Communications,United States of America,Q30,,Q15817713,1
Humanities Commons,,,,,1
"Imagination, cognition and personality",United Kingdom,Q145,,Q27723403,1
In Analysis,France,Q142,,Q96708463,1
