Universities,UniversitiesWD,Country,UniversitiesWD.QID,Country.QID
Université de Montréal,University of Montreal,Canada,Q392189,Q16
Université de Montréal,University of Montreal,Canada,Q392189,Q16
University of Santa Catarina State,Universidade do Estado de Santa Catarina,Brazil,Q3551702,Q155
Université Cergy-Pontoise,Cergy-Pontoise University,France,Q2496006,Q142
The University of Texas at Austin,University of Texas at Austin,United States of America,Q49213,Q30
Carnegie Mellon University,Carnegie Mellon University,United States of America,Q190080,Q30
Université de Montréal,University of Montreal,Canada,Q392189,Q16
University of Nebraska at Omaha,University of Nebraska Omaha,United States of America,Q2495890,Q30
University of Louisiana,Tulane University,United States of America,Q1193547,Q30
Université Paris 13,Université Sorbonne Paris Nord,France,Q1780212,Q142
Université du Québec à Montréal,Université du Québec à Montréal,Canada,Q1634522,Q16
ENS Cachan,École normale supérieure Paris-Saclay,France,Q273604,Q142
North Carolina State University,North Carolina State University,United States of America,Q1132346,Q30
Miami University,Miami University,United States of America,Q590643,Q30
California State University,California State University,United States of America,Q815352,Q30
Concordia University,Concordia University,Canada,Q326342,Q16
Rice University,Rice University,United States of America,Q842909,Q30
University of Wisconsin-Milwaukee,University of Wisconsin–Milwaukee,United States of America,Q1755318,Q30
Université du Québec à Montréal,Université du Québec à Montréal,Canada,Q1634522,Q16
University of Jyväskylä,University of Jyväskylä,Finland,Q578326,Q33
Indiana University,Indiana University Bloomington,United States of America,Q1079140,Q30
Institute of Transpersonal Psychology,Sofia University,United States of America,Q6040956,Q30
EHESS,School for Advanced Studies in the Social Sciences,France,Q273518,Q142
Université du Québec à Montréal,Université du Québec à Montréal,Canada,Q1634522,Q16
Université Paris VII,Paris Diderot University,France,Q1235608,Q142
Institut d'Etudes Politiques de Lyon 2,Institut d'études politiques de Lyon,France,Q2253344,Q142
New York University,New York University,United States of America,Q49210,Q30
EHESS,School for Advanced Studies in the Social Sciences,France,Q273518,Q142
University of Missouri-Columbia,University of Missouri,United States of America,Q579968,Q30
Carleton University,Carleton University,Canada,Q1041737,Q16
EHESS,School for Advanced Studies in the Social Sciences,France,Q273518,Q142
Humboldt State University,"California State Polytechnic University, Humboldt",United States of America,Q624560,Q30
Southern Illinois University at Carbondale,Southern Illinois University Carbondale,United States of America,Q1472347,Q30
San Jose State University,San José State University,United States of America,Q498526,Q30
Washington University in St. Louis,Washington University in St. Louis,United States of America,Q777403,Q30
North Carolina State University,North Carolina State University,United States of America,Q1132346,Q30
University of North Texas,University of North Texas,United States of America,Q860527,Q30
University of Louisville,University of Louisville,United States of America,Q1317143,Q30
Concordia University,Concordia University,Canada,Q326342,Q16
Université de Toulouse Le Mirail,University Toulouse - Jean Jaurès,France,Q1933558,Q142
Universidade federal de Pernambuco,Federal University of Pernambuco,Brazil,Q2322256,Q155
Indiana University,Indiana University Bloomington,United States of America,Q1079140,Q30
Rutgers University,Rutgers University,United States of America,Q499451,Q30
U Paris X,Paris Nanterre University,France,Q1394262,Q142
U Paris XIII,Université Sorbonne Paris Nord,France,Q1780212,Q142
Indiana University,Indiana University Bloomington,United States of America,Q1079140,Q30
Auckland University of Technology,Auckland University of Technology,New Zealand,Q758659,Q664
Universidade Federal do Paraná,Universidade Federal do Paraná,Brazil,Q1232831,Q155
Université de Paris 8,Paris 8 University,France,Q1194988,Q142
Ball State University,Ball State University,United States of America,Q805122,Q30
East Tennessee State University,East Tennessee State University,United States of America,Q634669,Q30
Chestnut Hill College,Chestnut Hill College,United States of America,Q2962876,Q30
